FID,ROW,COL,delx,dely,area,I,J,IBND,X,Y
0,1,1,200,100,20000,1,1,0,557900,142750
1,1,2,200,100,20000,1,2,0,558100,142750
2,1,3,200,100,20000,1,3,0,558300,142750
3,1,4,200,100,20000,1,4,0,558500,142750
4,1,5,200,100,20000,1,5,0,558700,142750
5,1,6,200,100,20000,1,6,0,558900,142750
6,1,7,200,100,20000,1,7,0,559100,142750
7,1,8,200,100,20000,1,8,0,559300,142750
8,1,9,200,100,20000,1,9,0,559500,142750
9,1,10,200,100,20000,1,10,0,559700,142750
10,1,11,200,100,20000,1,11,0,559900,142750
11,1,12,200,100,20000,1,12,0,560100,142750
12,1,13,200,100,20000,1,13,0,560300,142750
13,1,14,200,100,20000,1,14,0,560500,142750
14,1,15,200,100,20000,1,15,0,560700,142750
15,1,16,200,100,20000,1,16,0,560900,142750
16,1,17,200,100,20000,1,17,0,561100,142750
17,1,18,200,100,20000,1,18,0,561300,142750
18,1,19,200,100,20000,1,19,0,561500,142750
19,1,20,200,100,20000,1,20,0,561700,142750
20,1,21,200,100,20000,1,21,0,561900,142750
21,1,22,200,100,20000,1,22,0,562100,142750
22,1,23,200,100,20000,1,23,0,562300,142750
23,1,24,200,100,20000,1,24,0,562500,142750
24,1,25,200,100,20000,1,25,0,562700,142750
25,1,26,200,100,20000,1,26,1,562900,142750
26,1,27,200,100,20000,1,27,0,563100,142750
27,1,28,200,100,20000,1,28,0,563300,142750
28,1,29,200,100,20000,1,29,0,563500,142750
29,1,30,200,100,20000,1,30,0,563700,142750
30,1,31,200,100,20000,1,31,0,563900,142750
31,1,32,100,100,10000,1,32,0,564050,142750
32,1,33,100,100,10000,1,33,0,564150,142750
33,1,34,100,100,10000,1,34,0,564250,142750
34,1,35,100,100,10000,1,35,0,564350,142750
35,1,36,100,100,10000,1,36,0,564450,142750
36,1,37,100,100,10000,1,37,0,564550,142750
37,1,38,100,100,10000,1,38,0,564650,142750
38,1,39,100,100,10000,1,39,0,564750,142750
39,1,40,100,100,10000,1,40,0,564850,142750
40,1,41,100,100,10000,1,41,0,564950,142750
41,1,42,100,100,10000,1,42,0,565050,142750
42,1,43,100,100,10000,1,43,0,565150,142750
43,1,44,100,100,10000,1,44,0,565250,142750
44,1,45,100,100,10000,1,45,0,565350,142750
45,1,46,100,100,10000,1,46,0,565450,142750
46,1,47,100,100,10000,1,47,0,565550,142750
47,1,48,100,100,10000,1,48,0,565650,142750
48,1,49,100,100,10000,1,49,0,565750,142750
49,1,50,100,100,10000,1,50,0,565850,142750
50,1,51,100,100,10000,1,51,0,565950,142750
51,1,52,100,100,10000,1,52,0,566050,142750
52,1,53,100,100,10000,1,53,0,566150,142750
53,1,54,100,100,10000,1,54,0,566250,142750
54,1,55,100,100,10000,1,55,0,566350,142750
55,1,56,100,100,10000,1,56,0,566450,142750
56,1,57,100,100,10000,1,57,0,566550,142750
57,1,58,100,100,10000,1,58,0,566650,142750
58,1,59,100,100,10000,1,59,0,566750,142750
59,1,60,100,100,10000,1,60,0,566850,142750
60,1,61,100,100,10000,1,61,0,566950,142750
61,1,62,100,100,10000,1,62,0,567050,142750
62,1,63,100,100,10000,1,63,0,567150,142750
63,1,64,100,100,10000,1,64,0,567250,142750
64,1,65,100,100,10000,1,65,0,567350,142750
65,1,66,100,100,10000,1,66,0,567450,142750
66,1,67,100,100,10000,1,67,0,567550,142750
67,1,68,100,100,10000,1,68,0,567650,142750
