FID,ROW,COL,delx,dely,area,I,J,IBND,X,Y
0,1,1,200,100,20000,1,1,0,557900,142750
274,2,1,200,100,20000,2,1,0,557900,142650
548,3,1,200,100,20000,3,1,0,557900,142550
822,4,1,200,100,20000,4,1,0,557900,142450
1096,5,1,200,100,20000,5,1,0,557900,142350
1370,6,1,200,100,20000,6,1,0,557900,142250
1644,7,1,200,100,20000,7,1,0,557900,142150
1918,8,1,200,100,20000,8,1,0,557900,142050
2192,9,1,200,100,20000,9,1,0,557900,141950
2466,10,1,200,100,20000,10,1,0,557900,141850
2740,11,1,200,100,20000,11,1,0,557900,141750
3014,12,1,200,100,20000,12,1,0,557900,141650
3288,13,1,200,100,20000,13,1,0,557900,141550
3562,14,1,200,100,20000,14,1,0,557900,141450
3836,15,1,200,100,20000,15,1,0,557900,141350
4110,16,1,200,100,20000,16,1,0,557900,141250
4384,17,1,200,100,20000,17,1,0,557900,141150
4658,18,1,200,100,20000,18,1,0,557900,141050
4932,19,1,200,100,20000,19,1,0,557900,140950
5206,20,1,200,100,20000,20,1,0,557900,140850
5480,21,1,200,100,20000,21,1,0,557900,140750
5754,22,1,200,100,20000,22,1,0,557900,140650
6028,23,1,200,100,20000,23,1,0,557900,140550
6302,24,1,200,100,20000,24,1,0,557900,140450
6576,25,1,200,100,20000,25,1,0,557900,140350
6850,26,1,200,100,20000,26,1,0,557900,140250
7124,27,1,200,100,20000,27,1,0,557900,140150
7398,28,1,200,100,20000,28,1,0,557900,140050
7672,29,1,200,100,20000,29,1,0,557900,139950
7946,30,1,200,100,20000,30,1,0,557900,139850
8220,31,1,200,100,20000,31,1,0,557900,139750
8494,32,1,200,100,20000,32,1,0,557900,139650
8768,33,1,200,100,20000,33,1,0,557900,139550
9042,34,1,200,100,20000,34,1,0,557900,139450
9316,35,1,200,100,20000,35,1,0,557900,139350
9590,36,1,200,100,20000,36,1,0,557900,139250
9864,37,1,200,100,20000,37,1,0,557900,139150
10138,38,1,200,100,20000,38,1,0,557900,139050
10412,39,1,200,100,20000,39,1,0,557900,138950
10686,40,1,200,100,20000,40,1,0,557900,138850
10960,41,1,200,100,20000,41,1,0,557900,138750
11234,42,1,200,100,20000,42,1,0,557900,138650
11508,43,1,200,100,20000,43,1,0,557900,138550
11782,44,1,200,100,20000,44,1,0,557900,138450
12056,45,1,200,100,20000,45,1,0,557900,138350
12330,46,1,200,100,20000,46,1,1,557900,138250
12604,47,1,200,100,20000,47,1,1,557900,138150
12878,48,1,200,100,20000,48,1,1,557900,138050
13152,49,1,200,100,20000,49,1,1,557900,137950
13426,50,1,200,100,20000,50,1,1,557900,137850
13700,51,1,200,100,20000,51,1,1,557900,137750
13974,52,1,200,100,20000,52,1,1,557900,137650
14248,53,1,200,100,20000,53,1,1,557900,137550
14522,54,1,200,100,20000,54,1,1,557900,137450
14796,55,1,200,100,20000,55,1,1,557900,137350
15070,56,1,200,100,20000,56,1,1,557900,137250
15344,57,1,200,100,20000,57,1,1,557900,137150
15618,58,1,200,100,20000,58,1,1,557900,137050
15892,59,1,200,100,20000,59,1,1,557900,136950
16166,60,1,200,100,20000,60,1,1,557900,136850
16440,61,1,200,100,20000,61,1,1,557900,136750
16714,62,1,200,100,20000,62,1,0,557900,136650
16988,63,1,200,100,20000,63,1,0,557900,136550
17262,64,1,200,100,20000,64,1,0,557900,136450
17536,65,1,200,100,20000,65,1,0,557900,136350
17810,66,1,200,100,20000,66,1,0,557900,136250
18084,67,1,200,100,20000,67,1,0,557900,136150
18358,68,1,200,100,20000,68,1,0,557900,136050
18632,69,1,200,100,20000,69,1,0,557900,135950
18906,70,1,200,100,20000,70,1,0,557900,135850
19180,71,1,200,100,20000,71,1,0,557900,135750
19454,72,1,200,100,20000,72,1,0,557900,135650
19728,73,1,200,100,20000,73,1,0,557900,135550
20002,74,1,200,100,20000,74,1,0,557900,135450
20276,75,1,200,100,20000,75,1,0,557900,135350
20550,76,1,200,100,20000,76,1,0,557900,135250
20824,77,1,200,100,20000,77,1,0,557900,135150
21098,78,1,200,100,20000,78,1,0,557900,135050
21372,79,1,200,100,20000,79,1,0,557900,134950
21646,80,1,200,100,20000,80,1,0,557900,134850
21920,81,1,200,100,20000,81,1,0,557900,134750
22194,82,1,200,100,20000,82,1,0,557900,134650
22468,83,1,200,100,20000,83,1,0,557900,134550
22742,84,1,200,100,20000,84,1,0,557900,134450
23016,85,1,200,100,20000,85,1,0,557900,134350
23290,86,1,200,100,20000,86,1,0,557900,134250
23564,87,1,200,100,20000,87,1,0,557900,134150
23838,88,1,200,100,20000,88,1,0,557900,134050
24112,89,1,200,100,20000,89,1,0,557900,133950
24386,90,1,200,100,20000,90,1,0,557900,133850
24660,91,1,200,100,20000,91,1,0,557900,133750
24934,92,1,200,100,20000,92,1,0,557900,133650
25208,93,1,200,100,20000,93,1,0,557900,133550
25482,94,1,200,100,20000,94,1,0,557900,133450
25756,95,1,200,100,20000,95,1,0,557900,133350
26030,96,1,200,100,20000,96,1,0,557900,133250
26304,97,1,200,100,20000,97,1,0,557900,133150
26578,98,1,200,100,20000,98,1,0,557900,133050
26852,99,1,200,100,20000,99,1,0,557900,132950
27126,100,1,200,100,20000,100,1,0,557900,132850
27400,101,1,200,100,20000,101,1,0,557900,132750
27674,102,1,200,100,20000,102,1,0,557900,132650
27948,103,1,200,100,20000,103,1,0,557900,132550
28222,104,1,200,100,20000,104,1,0,557900,132450
28496,105,1,200,100,20000,105,1,0,557900,132350
28770,106,1,200,100,20000,106,1,0,557900,132250
29044,107,1,200,100,20000,107,1,0,557900,132150
29318,108,1,200,100,20000,108,1,0,557900,132050
29592,109,1,200,100,20000,109,1,0,557900,131950
29866,110,1,200,100,20000,110,1,0,557900,131850
30140,111,1,200,100,20000,111,1,0,557900,131750
30414,112,1,200,100,20000,112,1,0,557900,131650
30688,113,1,200,100,20000,113,1,0,557900,131550
30962,114,1,200,100,20000,114,1,0,557900,131450
31236,115,1,200,100,20000,115,1,0,557900,131350
31510,116,1,200,100,20000,116,1,0,557900,131250
31784,117,1,200,100,20000,117,1,0,557900,131150
32058,118,1,200,100,20000,118,1,0,557900,131050
32332,119,1,200,100,20000,119,1,0,557900,130950
32606,120,1,200,100,20000,120,1,0,557900,130850
32880,121,1,200,100,20000,121,1,0,557900,130750
33154,122,1,200,100,20000,122,1,0,557900,130650
33428,123,1,200,100,20000,123,1,0,557900,130550
33702,124,1,200,100,20000,124,1,0,557900,130450
33976,125,1,200,100,20000,125,1,0,557900,130350
34250,126,1,200,100,20000,126,1,0,557900,130250
34524,127,1,200,100,20000,127,1,0,557900,130150
34798,128,1,200,100,20000,128,1,0,557900,130050
35072,129,1,200,100,20000,129,1,0,557900,129950
35346,130,1,200,100,20000,130,1,0,557900,129850
35620,131,1,200,100,20000,131,1,0,557900,129750
35894,132,1,200,100,20000,132,1,0,557900,129650
36168,133,1,200,100,20000,133,1,0,557900,129550
36442,134,1,200,100,20000,134,1,0,557900,129450
36716,135,1,200,100,20000,135,1,0,557900,129350
36990,136,1,200,100,20000,136,1,0,557900,129250
37264,137,1,200,200,40000,137,1,0,557900,129100
37538,138,1,200,200,40000,138,1,0,557900,128900
37812,139,1,200,200,40000,139,1,0,557900,128700
38086,140,1,200,200,40000,140,1,0,557900,128500
38360,141,1,200,200,40000,141,1,0,557900,128300
38634,142,1,200,200,40000,142,1,0,557900,128100
38908,143,1,200,200,40000,143,1,0,557900,127900
39182,144,1,200,200,40000,144,1,0,557900,127700
39456,145,1,200,200,40000,145,1,0,557900,127500
39730,146,1,200,200,40000,146,1,0,557900,127300
40004,147,1,200,200,40000,147,1,0,557900,127100
40278,148,1,200,200,40000,148,1,0,557900,126900
40552,149,1,200,200,40000,149,1,0,557900,126700
40826,150,1,200,200,40000,150,1,0,557900,126500
41100,151,1,200,200,40000,151,1,0,557900,126300
41374,152,1,200,200,40000,152,1,0,557900,126100
41648,153,1,200,200,40000,153,1,0,557900,125900
41922,154,1,200,200,40000,154,1,0,557900,125700
42196,155,1,200,200,40000,155,1,0,557900,125500
42470,156,1,200,200,40000,156,1,0,557900,125300
42744,157,1,200,200,40000,157,1,0,557900,125100
43018,158,1,200,200,40000,158,1,0,557900,124900
43292,159,1,200,200,40000,159,1,0,557900,124700
43566,160,1,200,200,40000,160,1,0,557900,124500
43840,161,1,200,200,40000,161,1,0,557900,124300
44114,162,1,200,200,40000,162,1,0,557900,124100
44388,163,1,200,200,40000,163,1,0,557900,123900
44662,164,1,200,200,40000,164,1,0,557900,123700
44936,165,1,200,200,40000,165,1,0,557900,123500
45210,166,1,200,200,40000,166,1,0,557900,123300
45484,167,1,200,200,40000,167,1,0,557900,123100
45758,168,1,200,200,40000,168,1,0,557900,122900
46032,169,1,200,200,40000,169,1,0,557900,122700
46306,170,1,200,200,40000,170,1,0,557900,122500
46580,171,1,200,200,40000,171,1,0,557900,122300
46854,172,1,200,200,40000,172,1,0,557900,122100
47128,173,1,200,200,40000,173,1,0,557900,121900
47402,174,1,200,200,40000,174,1,0,557900,121700
47676,175,1,200,200,40000,175,1,0,557900,121500
47950,176,1,200,200,40000,176,1,0,557900,121300
48224,177,1,200,200,40000,177,1,0,557900,121100
48498,178,1,200,200,40000,178,1,0,557900,120900
